This Year,Name,Image,Type,Edible,Description,Location,Sowing month,Indoor seed,Date sown,Outdoor seed,Planting out month,Planting out instruction,Sowing Instructions,Pruning month,Pruning Instructions,Harvest month,Flowering,Preferences,Soil Preference,Care Instructions,Common problems,Good for pollinators,Link to Useful Website,Archived
No,Marjoram Sweet,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9351.jpg,Herb,Yes,"Majorana hortensis
A fragrant and popular herb, use the leaves fresh or dried in soups and stews, ideal for stuffing too. The aromatic plant produces white flowers in summer.",Seed pack,"April, June, March, May",No,,No,,,"Outdoor Planting:
Sow seeds 1.5cm deep direct in growing bed. Keep the soil moist, and be careful not to over-water. When large enough to handle
thin to 10"" (25cm).
Pick the leaves regularly to encourage growth.
Alternatively, for all year round supply, sow indoors in pots.",,,"August, July, September",,"Full sun, Pot",,"trays. Do not overcrowd the plants and keep in a warm, light position. Once all chance of frost has passed the plants can be transplanted direct into your desired location. Harden off first.",,No,,No
No,Micro greens Basil Sweet,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9329.jpg,Herb,Yes,Ocimum basilicum,Seed pack,"April, August, December, February, January, July, June, March, May, November, October, September",No,,No,,,"FOR INDOOR SOWING
All year round 
In small trays of moist compost Sow generously and spray gently with water to moisten the
seeds. Place on a light airy windowsill. For continuous crops
sow every 7-10 days
Tip
Sow half a tray at a time for convenient, continuous crops Sowing to harvest times may change throughout the year as growing conditions and light levels change",,,"April, August, December, February, January, July, June, March, May, November, October, September",,,,"Keep moist, do not allow seed to dry out
Harvest all year round, when approx. 5cm high or when first true leaves appear
Ensure growing trays are thoroughly washed before they are re-used",,No,,No
No,Mint,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7329.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7330.jpg",Herb,Yes,"Mint
(Mentha piperita)
A popular versatile herb, mostly known as an ideal accompaniment
to lamb. Also great when added to boiled new potatoes and peas.
Can help aid indigestion.",Seed pack,May,No,,Yes,,,"Outdoor Planting:
Sow seeds 0.5cm deep direct in growing bed. Keep the soil moist,
and be careful not to over-water. When large enough to handle thin
to 12"" (30cm).",,,,,,"Well drained, Wet",,,No,,No
No,Mixed Carrots,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9279.jpg,Vegetable,Yes,"Natural and vibrant mix
Eat raw, roasted whole, boiled or steamed Sow to harvest in less than 100 days",Seed pack,"April, June, March, May",No,,No,,,"Sowing Outdoors
Sow seeds thinly, 1cm (½2 in) deep in pre-watered rows, and cover with a little soil. Allow 15cm (bin) between rows. Carrots do best in light stone free soils.",,,"August, July, June, September",,,Wet,"Thinning
As seedlings develop, thin initially to 2cm (Tin) apart. Later thin again to about 5cm (2in) apart. Thinnings are delicious cooked as finger carrots or raw in salads. Thinning is best kept to a minimum as crushed leaves attract carrot root fly. Keep soil moist after thinning.",,No,,Yes
No,Morning Glory Heavenly Blue,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9345.jpg,"Annual, Flowers",No,"(Ipomoea rubro coerulea)
A very popular beautiful sky-blue flower that opens fully in the morning and closes in the afternoon. Provides colourful flowers all through summer. Half Hardy Annual.",Archive,"June, May",Yes,,No,,,"Outdoor Planting:
Sow seeds 1.5cm deep in flowering location, thin to above spacings. These plants require full sun and will require support.",,,,"August, July, June, September",Full sun,,"Growing On:
When the seedlings are strong enough to handle they can be transplanted into bigger pots or trays. Do not overcrowd the plants and keep in a warm, light position. Once all chance of frost has passed the plants can be transplanted direct into your desired location in May. Harden off first.",,No,,Yes
Yes,Nasturtium Bloody Mary,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7384.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7385.jpg","Annual, Flowers",Yes,"A hardy annual, it can be sown where it is to flower
• Exciting flowers in ever-changing pattern and shades
• Compact plants with a mix of light and dark leaves",Seed pack,"April, February, June, March, May",Yes,,Yes,"June, May",,"Sow outdoors where they are to flower, 1.5cm deep, directly into finely prepared soil which has already been watered. Sow two seeds together every 20cm. Seedlings usually appear in 21-28 days. Remove the
weaker plant, which can be transplanted elsewhere if desired. Water well until young plants are established. 
Or sow indoors for earlier flowers, 1.5cm deep, individually in small pots of compost. Keep moist. Gradually accustom plants to outside conditions
(avoid frosts), before planting out 30cmapart, when
frosts are over.",,,,"August, July, June, October, September",Full sun,"Well drained, Wet",,,No,,No
Yes,Nasturtium carousel,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9287.jpg,"Annual, Flowers",Yes,A stunning mix of vibrant colours to create eye-catching displays throughout the summer. Thrives in poor soils and is ideal for patio containers.,Seed pack,"April, June, May",No,,Yes,,,"Outdoor sowing In a prepared seed bed in flowering position, sow 2 seeds together, with 30cm (12in) between pairs. Cover lightly with 1.5cm (half inch) of fine soil, firm gently and keep moist. Thin to one strong seedling per group.",,,,"August, July, June, October, September",Full sun,"Fine, Wet",,,Yes,,No
Yes,Nasturtium Whirlybird Mix,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9298.jpg,"Annual, Flowers",Yes,"Tropaeolum majus Hardy annual
Nasturtium Seedlings
Single and semi double blooms
Easy to grow
Peppery tasting leaves and flowers",Seed pack,"April, June, May",No,,Yes,,,"Sowing Outdoors
Sow seeds in pre-watered soil at a depth of 2cm (lin) in their flowering positions. Keep soil moist until seedlings emerge, and water well in dry spells. Thin seedlings to around 30cm (12in) apart.",,,,"August, July, June, September",Full sun,"Fine, Wet",,,Yes,,No
Yes,Night Scented Stock,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9323.jpg,"Annual, Flowers",No,"Matthiola bicornis
A wonderful quaint plant producing delicate small lilac flowers. To enjoy the delicious scent at night plant as near to your home as possible.",Seed pack,"April, June, March, May",No,,No,,,"Outdoor Planting:
Sow seeds 0.5cm deep in moist compost, be careful not to over-water. Keep in a sunny position.",,,,"August, July, June, September",Full sun,Well drained,"Growing On:
When the seedlings are strong enough to handle, thin out to above spacings. Make regular sowings for a continuous display through summer.",,Yes,,No
Yes,Onion Rubiniu,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9382.jpg,Vegetable,Yes,"Semi-late variety with a vegetation period of 150 days from sunrise to harvest; culture is carried out by sowing directly in the field, in all favorable areas; sowing rate: 7 kg/ha. The bulbs are large, with an average weight of 250 g, they have the shape of a cone trunk, covered on the outside by red-purple parchment tunics. The inner, juicy leaves are light purple, covered by a purple membrane; The production is intended for fresh consumption; has medium storage capacity; production potential: 60-70 t/ha. Variety tolerant to diseases and pests, needing preventive treatments.",Seed pack,"April, February, March",Yes,,No,May,"At the end of May, when the seedling has 2-3 leaves, it must be shaped (leaves and roots are shortened), mulched and planted at the same depth as in the furrows where the seedlings were produced.","The culture can also be established by seedlings, obtained by sowing on furrows 50 cm high, in April, in rows spaced 5-6 cm apart.",,,"August, September",,,,,,No,,No
Yes,Oregano greek,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9358.jpg,Herb,Yes,"Origanum vulgare
Strong aromatic flavour. A traditional ingredient of robust Greek food, popular in dishes such as moussaka, with cheese, fish and for flavouring oils.",Seed pack,"June, May",No,,No,,,"In the growing position Sow thinly, cover with fine soil",,,"August, July, June, November, October, September",,Full sun,Well drained,"When large enough, thin to 15cm apart, for a continuous supply make sowings every three weeks. Pick as required from June to November Remove flowers as they appear, for longer picking and better flavour",,No,,No
Yes,Pak Choi Canton white,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7392.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7393.jpg","Annual, Vegetable",Yes,"Use as baby leaf in salads
Great for use in stir fries
High yielding",Seed pack,"April, August, July, June, March, May",No,,Yes,,,"Sow seeds thinly in shallow, pre-watered
rows. Lightly cover seeds with a little soil,
Keep soil moist, as dry conditions impair
germination. Gradually thin seedlings to
25cm apart and allow them to
develop.",,,"August, July, June, May, October, September",,Part shade,"Well drained, Wet","Keep well watered in periods of dry
weather.",,No,,No
Yes,Pansy Special early mix,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9388.jpg,"Annual, Flowers",Yes,Viola x wittrockiana,Seed pack,"July, June, May",Yes,,No,,"Transplant 15cm apart in flowering
position from September onwards","In a prepared seed bed
Sow thinly in rows 20cm apart Cover with 1.5cm of fine soil
Firm gently and keep moist.
When large enough thin to 5cm apart ",,,,"April, December, February, January, June, March, May, November, October","Full sun, Part shade",Well drained,Remove dead flower heads to prolong flowering,,No,,No
Yes,Pea Alderman,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7303.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7304.jpg","Annual, Vegetable",Yes,"One of the most popular tall pea varieties
Succulent and superb-tasting peas
• On average 9-11 peas per pod
This well-known, heavy-cropping heritage pea variety is one of the most popular tall varieties - plants can grow to 1.8m (6ft), so support is essential. The large, dark green, slightly curved pods open to reveal on average 9-11 super tasty peas. Keep plants well watered to prolong the picking season. Maincrop maturity.",Seed pack,"April, June, March, May",No,,Yes,,,"Sow March to June every 10 days for successional cropping. Sow 4cm deep in flat-bottomed drills, spacing the seeds about 2.5-5cm apart. and in rows 150cm apart.
When plants are 1 Ocm (4in) tall, erect strong supports_at each end of the
row and attach pea netting or chicken wire. The pods will be ready to harvest about 12-13
weeks from sowing. Pick regularly for higher yields and to extend the picking season.",,,"August, July, September",,Full sun,"Well drained, Wet",,,No,,No
Yes,Pea Ambassador,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9266.jpg,Vegetable,Yes,"Pisum sativum
",Seed pack,"April, June, March, May",No,,No,,,"Sow outdoors into well drained soil in a sunny position. Dig a flat bottomed trench 15 cm wide and 5 cm deep and place pea seeds 5 cm apart in a double zig zag row along the bottom. Cover with soil, label the rows and water well. Allow 60cm between each row. Seedlings will usually appear after 14-21 days.",,,"August, July, June, May, September",,Full sun,Wet,"When the seedlings emerge insert plant supports, wire or netting for support. Pick pods regularly to maximise cropping. Keep the soil moist and weed free. ",,No,,No
Yes,Pea Mangetout Shiraz,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7305.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7306.jpg","Annual, Vegetable",Yes,"Bumper crops of stunning flat purple pods
• Easy to grow vegetable
Powdery mildew resistant and good tolerance to downy mildew.
British breeding of the first purple mangetout. Attractive bi-coloured flowers form stunning flat, purple mangetouts to eat raw and in stir-fries. Can also be lightly steamed although colour will fade, or boiled where the colour will turn dark green. As with all mangetouts, they are best harvested and eaten young just as the peas start to form. Powdery mildew resistant and tolerance to downy mildew to help extend the sowing season to early July.",Seed pack,"April, July, June, March, May",No,,Yes,,,"SOWING INSTRUCTIONS: Sow every 10 days to ensure successional crops. Sow 5cm deep in flat-bottomed drills spacing about 2.5-5cm apart, and in rows 75cm apart.",,,"August, July, June, October, September",,Full sun,"Well drained, Wet","GROWING INSTRUCTIONS: Water plants regularly, especially when in flower as this will improve the crop. Start picking pods just as the peas inside start to form, regular picking will encourage further cropping and improve the flavour.",,No,,No
Yes,Peacock orchid,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9614_(1).jpg,Flowers,No,"Create beautiful summer display and flamboyant blooms, these are ideal for giving height to bets and borders. Plant in groups or maximum effect.",,"April, March, May",No,,No,,,"Plant in a sunny spot. ",,,,"August, July, September",Full sun,,,,No,,No
Yes,Petunia special grandiflora mix,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9391.jpg,"Annual, Flowers",Yes,"Petunia grandiflora
Lovely large open blooms in a whole host of striking colours. Perfect for mixed displays in all types of
garden containers and for bedding.","Seed pack, Seed tray - indoors","April, February, March",No,"February 24, 2024",No,May,When large enough transplant 5cm apart in trays. Grow on at approx. 15°C Stand outside for a few days late May (avoid frosts). Transplant 23cm apart in flowering position.,"In trays of seed compost
Sow thinly, do not cover the seed with compost. Firm gently and keep moist
lid. Keep at approx. 20-25°C Seedlings appear 14-25 days
Cover with glass, polythene or propagator Remove cover when seedlings appear",,,,"August, July, June, October, September",Full sun,Well drained,"Keep moist and weed free.
 Remove dead heads to prolong flowering.
Pinch out tips when approx. 10cm tall for
bushier plants",,No,,No
Yes,Pink Giant,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9514_(1).jpg,"Flowers, Perennial",No,Beautiful spikes of star shaped pink flowers with glossy bright green leaves,Front - raised bed,,No,,No,,,Plant 15 cm apart. Either plant immediately in a hole twice the pots diameter or in a larger patio pot to flower. Allow fading flowers to die back naturally.,,,,"April, March, May","Full sun, Part shade",Well drained,,,Yes,,No
Yes,Poached eggs,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7390.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7391.jpg","Annual, Flowers",No,"Low carpet of yellow and white blooms with a gentle scent
Easy to grow, perfect for rockeries and path edging
Will grow in any sunny position in well drained soil
A much-loved annual with a gentle fragrance that attracts hoverflies, who then feed on troublesome aphids. Bees also love this low spreading carpet of yellow and white blooms, ideal for the front of borders, rockeries and as edging.",Seed pack,"April, May, October, September",No,,Yes,,,"Sow outdoors where they are to flower. Prepare the
ground well and rake to a fine tilth before sowing. Sow 3mm deep, in rows 30cm apart.
GROWING ON: When large enough to handle, thin seedlings to 15cm apart.
FOR SPRING/SUMMER FLOWERING POT PLANTS: sow in a cool greenhouse or conservatory in late summer/early autumn. Grow on cool in full light and water",,,,"August, July, June, September",Full sun,Well drained,,,Yes,,No
Yes,Potato Colleen (first early),Our%20garden%2093e00b18daa6406bb774d7fac429385d/5ffe7c7f-49c4-4c17-9eaa-6beb6d63b493.jpg,Vegetable,Yes,Solanum tuberosum,Seed pack,February,No,,No,"April, March, May","Planting-out can take place as soon as the risk of frost has passed in your area (March-May). Dig over and cultivate the ground to be planted, removing any weeds. Raise shallow ridges 60cm/24"" apart and plant the seed potatoes into the ridge12cm/5"" deep and 22cm/9"" apart. If the potatoes have been chitted, take care not to damage the chits (shoots) as you plant. When the plants reach approx. 20cm/8"" tall, draw earth up the sides of the plant (covering the lower leaves). This will prevent light from reaching, the newly forming potatoes and encourage a higher yield","Chitting potatoes (encouraging the seed to sprout before planting) can lead to an earlier harvest than planting directly into the ground. To do this, place the seed potatoes into an open container such as an egg box, in a light and airy position, protected from frost. The potatoes will grow shoots.",,,"July, June",,Full sun,Well drained,Watering regularly will improve the yield and discourage scab from forming.,,No,,No
No,Potato Heidi Red,Our%20garden%2093e00b18daa6406bb774d7fac429385d/174af198-cd1d-4d99-9c15-b7db96cb8d6d.jpg,Vegetable,Yes,Solanum tuberosum,Seed pack,February,No,,No,"April, March, May","Planting-out can take place as soon as the risk of frost has passed in your area (March-May). Dig over and cultivate the ground to be planted, removing any weeds. Raise shallow ridges 60cm/24"" apart and plant the seed potatoes into the ridge12cm/5"" deep and 22cm/9"" apart. If the potatoes have been chitted, take care not to damage the chits (shoots) as you plant. When the plants reach approx. 20cm/8"" tall, draw earth up the sides of the plant (covering the lower leaves). This will prevent light from reaching, the newly forming potatoes and encourage a higher yield","Chitting potatoes (encouraging the seed to sprout before planting) can lead to an earlier harvest than planting directly into the ground. To do this, place the seed potatoes into an open container such as an egg box, in a light and airy position, protected from frost. The potatoes will grow shoots.",,,"October, September",,Full sun,Well drained,Watering regularly will improve the yield and discourage scab from forming.,,No,,No
No,Potato Salad Blue,Our%20garden%2093e00b18daa6406bb774d7fac429385d/e344cebf-5690-423b-a9d4-55b80887d9a1.jpg,Vegetable,Yes,Solanum tuberosum,Seed pack,February,No,,No,"April, March, May","Planting-out can take place as soon as the risk of frost has passed in your area (March-May). Dig over and cultivate the ground to be planted, removing any weeds. Raise shallow ridges 60cm/24"" apart and plant the seed potatoes into the ridge12cm/5"" deep and 22cm/9"" apart. If the potatoes have been chitted, take care not to damage the chits (shoots) as you plant. When the plants reach approx. 20cm/8"" tall, draw earth up the sides of the plant (covering the lower leaves). This will prevent light from reaching, the newly forming potatoes and encourage a higher yield","Chitting potatoes (encouraging the seed to sprout before planting) can lead to an earlier harvest than planting directly into the ground. To do this, place the seed potatoes into an open container such as an egg box, in a light and airy position, protected from frost. The potatoes will grow shoots.",,,"August, September",,Full sun,Well drained,Watering regularly will improve the yield and discourage scab from forming.,,No,,No
Yes,Puschkinia Libanitica,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9508_(1).jpg,"Flowers, Perennial",No,"Charming hardy plant suitable for rockeries, alpine gardens and pots. Upright stems bear pale blue, bell shaped flowers.",Front - raised bed,,No,,No,,,,,,,"April, February, March","Full sun, Part shade, Wet",Wet,Keep moist,,No,,No
Yes,Radish mooli mino early,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9496_(1).jpg,,,"Raphanus sativus An easy to grow, large oriental radish. Long white roots with mild flavour and crisp texture, traditionally used for sushi, salads, soups and stir-fries.",Seed pack,"August, July, June, May",No,,No,,,"Outdoor sowing - Sow thinly in rows 30cm apart. Cover with 1.5 cm fine soil. Firm gently and keep moist Seedlings appear 7-14 days. Make early and late sowings for a longer harvest When large enough thin out to 15cm apart. Harvest alternate roots, allowing others to fully mature up to 35cm long",,,,,,,Keep well watered as dry conditions can cause tough roots,,No,,No
No,Radishes French Breakfast,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9389.jpg,Vegetable,Yes,"Raphanus sativus
A popular radish producing cylindrical, crisp red roots with a white tip and superb flavour. Ideal for use as a catch crop between slower growing vegetables.",Seed pack,"April, August, February, July, June, March, May, September",No,,No,,,"Outdoor 
In a prepared seed bed Sow thinly in rows 23cm apart
February to September
Cover lightly with 1.5cm of fine soil For continuous crops sow every 2-3
Firm gently and keep moist Seedlings appear approx. 7-14 days
weeks
",,,"April, August, July, June, May, October, September",,,Well drained,"Thin as required. Keep well watered and weed free. Protect early sowings with cloches in cold weather
Tip
Sow and harvest little and often to avoid woody roots",,No,,Yes
Yes,Radishes Riesenbutter,Our%20garden%2093e00b18daa6406bb774d7fac429385d/3E89B8CA-282A-47B3-A7F9-85AFC4598416.jpeg,Vegetable,Yes,,Seed pack,"April, August, February, July, June, March, May, September",No,,No,,,"Sow thinly outdoors, 1.5 cm deep, directly where they are to grow, in rows spaced 20 cm apart.
Sow some of the seeds every
Seedling - Radish
2-3 weeks to extend your harvest period.
Seedlings will usually appear after 7 - 14 days.
Thin the crop by harvesting young radishes evenly along the row. Radishes are fast growing so, to make best use of space, plant between rows of slower growing vegetables, such as parsnips.
Keep the soil moist and weed free.",,,"August, July, June, May, October, September",,,,,,No,,No
Yes,Rocket Wild,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9353.jpg,Herb,Yes,"Tricia All year round
Strong against mildew, bolt tolerant",Seed pack,"April, August, December, February, January, July, June, March, May, November, October, September",No,,No,,,,,,"April, August, December, February, January, July, June, March, May, November, October, September",,,,,,No,,No
Yes,Runner Bean Enorma,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7281.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7282.jpg",Vegetable,Yes,"An appropriate name for a Runner Bean with enormously long, 50cm (20in) pods, smooth, slender and with impeccable flavour. Enjoy early, bumper crops over a long picking season. Ideal for exhibiting. RHS Award of Garden Merit. Germination: 7-10 days (64-68°F)
Plant height: 3m (10ft",Seed pack,"April, July, June, May",Yes,,Yes,"July, June, May","Gradually acclimatise indoor grown plants to outdoor conditions for a few days before planting out after risk of frost has passed, against canes or netting. Hoe regularly and keep well watered. Mulch during dry periods and give a liquid fertiliser every 2 weeks.","Sow mid to late April indoors for transplanting. Sow seed 5cm (2in) deep in 7.5cm (3in) pots or trays of good, free-draining, seed compost. Place in a propagator or seal container inside a polythene bag and keep at 18-20°C (64-68°F) until after germination which takes 7-10 days.
Can also be sown May to early July direct outdoors once the soil has warmed. Sow 15cm
(6in) apart, 5cm (2in) deep and in rows 45cm (18in) apart.",,,"August, July, October, September",,Full sun,,,,No,,No
Yes,Runner Bean Stringless Galaxy,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7401.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7402.jpg","Annual, Vegetable",Yes,"Reliable, high quality, purple seeded variety that provides exceptional yields of long and very smooth stringless, narrow pods with excellent flavour and texture. Shows good weather tolerance and sets beans well in most weather conditions, very useful for maximising the harvest.",Seed pack,"July, June, May",No,,Yes,,,"In a prepared seed bed, delay sowing if
soil is cold or waterlogged
Sow two seeds together, spacing 30cm
apart, in rows 45cm apart
Cover with 5cm of fine soil
Firm gently and keep moist",,,"August, October, September",,Full sun,Well drained,"When large enough thin to strongest
seedling. Train up poles or netting
Keep moist and weed free
Harvest August to October. Pick regularly to
encourage further cropping
In hot weather mist with tepid
water in the evening to help the pods set",,No,,No
Yes,Sage,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7339.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7340.jpg","Herb, Perennial",Yes,"An evergreen shrub, the leaves are a traditional ingredient in stuffing and complement all rich meats as it is said they counteract any fattiness.","Seed pack, Seed tray - indoors","February, March",Yes,"February 19, 2024",No,,"Thin as necessary and when large enough, acclimatise to outside conditions
Stand outside for a few days (avoid frost)
Transplant to final growing position
spacing 30cm apart","In trays of compost Sow thinly, cover lightly with fine compost and firm gently, keep at 15-20C and keep moist
Seedlings appear 14-28 days",,,,,Full sun,Well drained,"Pick the leaves as required throughout the year, some protection may be needed in very severe winters. For drying pick the leaves before the lant flowers",,No,,No
No,Sage purple,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9506_(1).jpg,"Herb, Perennial",Yes,"Salvia officinalis
Purple leaved from of common broad leaved sage.",Seed pack,"April, August, December, February, January, July, June, March, May, November, October, September",No,,Yes,,,,,,,,,,Water well before planting and during dry periods in first season until established. Can be planted at any time of the year,,No,,Yes
Yes,Saint John’s wort (sunatoare),"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7347.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7348.jpg","Annual, Flowers",Yes,"It is a herbaceous plant with a height of 60-80 cm, oval leaves and
yellow flowers. It is, used as a volatile oil against allergies,
irritations but also as an ointment, tincture or infusion.
Recommendations: antiseptic, antidiarrheal, bladder stones,
gastritis, gingivitis, as well as for treating wounds and neuralgia.",Seed pack,"April, March, October",No,,Yes,,,,,,"April, August, July, May, September",,,,,,No,,No
Yes,Snake’s head Fritillaria,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7299.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7300.jpg","Flowers, Perennial",No,"Excellent for wild flower meadows
White blooms heavily chequered with pink, plum or purple
Can be grown in grass and often self seeds ring delight, these hardy bulbs are perfect for naturalising in long grass, where they will quickly colonise, producing 5cm (2in) blooms heavily chequered in plum-purple or cream. Also suitable for rockeries and borders.",Seed pack,"April, March, May, October, September",No,,Yes,,"GROWING INSTRUCTIONS: Once most seedlings have germinated , move to a coldframe or well-lit position. Transplant seedlings when well grown into individual
7.5cm (3in) pots. Grow on for 2-3 seasons before planting out, 15cm (6in) apart.","SOWING INSTRUCTIONS: Place seed thinly on the surface of a seed sowing mix containing 1 part coarse grit, 2 parts compost. Cover seed with a layer
of grit. Place outdoors in a shady position, open to the weather, until after germination which can take up to a year. Keep the compost moist at all times, the summer.",,,,"April, May",Full sun,,"
For growing in grassland, do not cut grass until the Fritillaria leaves have
died down.",,Yes,,No
Yes,Sorrel,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7337.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7338.jpg","Annual, Herb",Yes,"Young leaves will add a tart flavour to a mixed leaf salad
Perfect for adding flavour to soups and sauces
Easy to grow, producing pale green leaves with a lemon flavour
Sorrel leaves are used extensively in French cuisine, with fish, soups and
sauces. Also picked young will add a tart flavour to a mixed leaf salad.
Leaves are best harvested regularly whilst small as bitterness increases
with larger, older leaves. Perennial, usually grown as a Hardy Annual.",Seed pack,"April, June, May",No,,Yes,,,"Sow directly outdoors. Prepare the soil by raking until it is fine and crumbly, removing any large stones. Sow thinly, 12mm deep in drills 30cm apart. Sow successionally every fortnight for 'salad
leaves'.",,,"April, August, July, June, May, October, September",,"Full sun, Part shade","Well drained, Wet","GROWING INSTRUCTIONS: Thin seedlings if necessary, when large enough
to handle, to 15cm apart. Keep ground weed free and water well during
dry periods. Harvest 6-8 weeks after sowing, selecting a few leaves from each
plant.",,No,,No
Yes,Sparaxis Harlequin Mix,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9339.jpg,"Flowers, Perennial",No,,Seed pack,"August, December, November, October, September",No,,No,,,,,,,"July, June",,,,,Yes,,No
Yes,Spinach apollo f1,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7293.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7294.jpg",Vegetable,Yes,"Spinacia oleracea
Fast growing and slow to bolt, with excellent disease resistance, for reliable crops of tasty and nutritious leaves over a long season. Also suitable for patio containers. 
","Rear - raised bed, Seed pack","April, August, March",No,"February 18, 2024",Yes,,,"March to August (sowings from late May to July should be for baby leaf only)
Sow thinly in rows 30cm apart for mature plants or 15cm apart for baby leaves Cover with 1.5cm of fine soil. Firm gently and keep moist. Seedlings appear 7-14 days. For continuous crops sow every 2-3 weeks",,,"April, May, October, September",,Part shade,,"When large enough thin to 7.5cm apart for baby leaf or for mature plants thin to final spacing of 15cm. Do not allow plants to dry out, this prevents them running to seed prematurely. For individual baby leaves, pick as required a few from each
plant, they will regrow for up to 3 to 4 cuts, pick mature plants once they have developed
",,No,,No
Yes,Spinach Matador,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9504_(1).jpg,"Annual, Vegetable",Yes,Spinacia Oleracea,Rear - raised bed,"April, August, February, July, June, March, May",No,"February 18, 2024",Yes,,,"Sow thinly outdoors into finely prepared, moisture retentive soil 2.5cm deep, in a sunny position, where they are to crop. Allow 30cm between rows. Seedlings will usuary appear after 7-14 days.",,,"June, May, November, October, September",,"Full sun, Wet",Wet,No thinning required if only baby leaves are required. Otherwise remove overcrowded seedlings when large enough to handle to leave remaining plants 10 cm apart.,,No,,No
Yes,Sunflower Giant single,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9335.jpg,"Annual, Flowers",Yes,"Helianthus annuus
A hardy annual, flowers the same year as sown Easy, fast growing with huge heads on giant stems 
Edible: Seeds harvested from grown plants can be used in baking. Packet seeds are not for consumption.",Seed pack,"April, March, May",Yes,,No,"June, May","Gradually accustom plants to outside conditions (avoid frosts), before planting out 45cm (18"") apart.","Sow outdoors where they are to flower, 1.5cm (1½"") deep, directly into finely prepared soil which has already been watered. Sow two seeds together every 45cm (18""). Seedlings usually appear in 14-21 days. Remove the weaker plant, which can be transplanted if desired. Water well until young plants are established. Or sow indoors 1.5cm (1/2"") deep, individually in pots of compost. Water well and place in a cold frame or greenhouse.",,,,"August, July, June, September",Full sun,Well drained,"Leave the dead flower heads to attract
and help feed the wild birds in the autumn. Easy to grow but if garden pests are a problem start seeds indoors.",,No,,No
